GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US22075,22075,"Plaquemines Parish, Louisiana",23042,23042,23117,23653,23921
0500000US22077,22077,"Pointe Coupee Parish, Louisiana",22802,22802,22738,22827,22726
0500000US22079,22079,"Rapides Parish, Louisiana",131613,131613,131759,132264,132373
0500000US22081,22081,"Red River Parish, Louisiana",9091,9091,9034,9020,8983
0500000US22083,22083,"Richland Parish, Louisiana",20725,20725,20722,20889,20921
0500000US22085,22085,"Sabine Parish, Louisiana",24233,24233,24224,24455,24325
0500000US22087,22087,"St. Bernard Parish, Louisiana",35897,35897,36795,39549,41635
0500000US22089,22089,"St. Charles Parish, Louisiana",52780,52880,52859,52538,52681
0500000US22091,22091,"St. Helena Parish, Louisiana",11203,11203,11173,11027,11071
0500000US22093,22093,"St. James Parish, Louisiana",22102,22102,21996,21847,21722
0500000US22095,22095,"St. John the Baptist Parish, Louisiana",45924,45824,45679,45122,44758
0500000US22097,22097,"St. Landry Parish, Louisiana",83384,83384,83470,83488,83662
0500000US22099,22099,"St. Martin Parish, Louisiana",52160,52160,52226,52825,52726
0500000US22101,22101,"St. Mary Parish, Louisiana",54650,54650,54591,54234,53697
0500000US22103,22103,"St. Tammany Parish, Louisiana",233740,233737,234571,236915,239453
0500000US22105,22105,"Tangipahoa Parish, Louisiana",121097,121101,121453,122519,123441
0500000US22107,22107,"Tensas Parish, Louisiana",5252,5252,5220,5084,4954
0500000US22109,22109,"Terrebonne Parish, Louisiana",111860,111590,111571,111726,111893
0500000US22111,22111,"Union Parish, Louisiana",22721,22721,22740,22701,22419
0500000US22113,22113,"Vermilion Parish, Louisiana",57999,57999,58063,58314,58723
0500000US22115,22115,"Vernon Parish, Louisiana",52334,52334,52754,52178,53869
0500000US22117,22117,"Washington Parish, Louisiana",47168,47171,47067,47125,46670
0500000US22119,22119,"Webster Parish, Louisiana",41207,41207,41209,41259,40940
0500000US22121,22121,"West Baton Rouge Parish, Louisiana",23788,23788,23940,24092,24106
0500000US22123,22123,"West Carroll Parish, Louisiana",11604,11604,11583,11536,11512
0500000US22125,22125,"West Feliciana Parish, Louisiana",15625,15625,15602,15460,15405
0500000US22127,22127,"Winn Parish, Louisiana",15313,15313,15268,15104,15000
0500000US23001,23001,"Androscoggin County, Maine",107702,107702,107678,107427,107609
0500000US23003,23003,"Aroostook County, Maine",71870,71870,71729,71388,70868
0500000US23005,23005,"Cumberland County, Maine",281674,281676,281476,282669,283921
0500000US23007,23007,"Franklin County, Maine",30768,30768,30718,30740,30630
0500000US23009,23009,"Hancock County, Maine",54418,54420,54371,54551,54558
0500000US23011,23011,"Kennebec County, Maine",122151,122151,122112,121912,121853
0500000US23013,23013,"Knox County, Maine",39736,39736,39697,39727,39668
0500000US23015,23015,"Lincoln County, Maine",34457,34457,34372,34254,34180
0500000US23017,23017,"Oxford County, Maine",57833,57831,57759,57771,57481
0500000US23019,23019,"Penobscot County, Maine",153923,153921,153892,153930,153746
0500000US23021,23021,"Piscataquis County, Maine",17535,17535,17534,17369,17290
0500000US23023,23023,"Sagadahoc County, Maine",35293,35293,35214,35137,35191
0500000US23025,23025,"Somerset County, Maine",52228,52228,52238,51924,51910
0500000US23027,23027,"Waldo County, Maine",38786,38786,38814,38783,38820
0500000US23029,23029,"Washington County, Maine",32856,32856,32796,32687,32462
0500000US23031,23031,"York County, Maine",197131,197131,197185,198275,199005
0500000US24001,24001,"Allegany County, Maryland",75087,75087,74984,74489,74012
0500000US24003,24003,"Anne Arundel County, Maryland",537656,537656,539360,544818,550488
0500000US24005,24005,"Baltimore County, Maryland",805029,805029,806274,812401,817455
0500000US24009,24009,"Calvert County, Maryland",88737,88737,88944,89264,89628
